#Entry,Positiv,Negativ,Strong,Weak
A,,,,
DEDUCE,Positiv,,,
DEDUCT,,,,
DEEM,,,,
DEEP#1,,,Strong,
DEEP#2,,,Strong,
DEEP#3,,,Strong,
DEEP#4,,,Strong,
DEEPEN,,,Strong,
DEER,,,,
DEFAME,,Negativ,,
DEFAULT,,Negativ,,
DEFEAT#1,,Negativ,,
DEFEAT#2,,Negativ,Strong,
DEFECATE,,,,
DEFECT,,Negativ,,Weak
DEFECTIVE,,Negativ,,Weak
DEFENCE,,,,
DEFEND,Positiv,,Strong,
DEFENDANT,,Negativ,,Weak
DEFENDER,Positiv,,Strong,
DEFENSE,Positiv,,Strong,
DEFENSE-COMMUNITY,,,,
DEFENSIVE,,Negativ,,Weak
DEFER,,,,
DEFERENCE,Positiv,,,
DEFIANCE,,Negativ,Strong,
DEFIANT,,Negativ,Strong,
DEFICIENCY,,Negativ,,Weak
DEFICIENT,,Negativ,,Weak
DEFICIT,,Negativ,,Weak
DEFILE,,Negativ,,
DEFINE,,,,
DEFINITE,,,Strong,
DEFINITELY,,,,
DEFINITION,,,,
DEFINITIVE,Positiv,,Strong,
DEFRAY,,,,
DEFY,,Negativ,Strong,
DEGENERATE,,Negativ,,Weak
DEGRADE,,Negativ,,
DEGREE#1,,,,
DEGREE#2,,,,
DEGREE#3,,,,
DEJECT,,,,
DEJECTED,,Negativ,,Weak
DELAY#1,,Negativ,,Weak
DELAY#2,,Negativ,,Weak
DELEGATE,,,,
DELEGATION,,,,
DELEWARE,,,,
DELIBERATE#1,,,Strong,
DELIBERATE#2,,,Strong,
DELIBERATION,,,,
DELICACY,Positiv,,,
DELICATE,Positiv,,,Weak
DELIGHT#1,Positiv,,,
DELIGHT#2,Positiv,,,
DELIGHTFUL,Positiv,,,
DELINQUENCY,,Negativ,,Weak
DELINQUENT,,Negativ,,Weak
DELIRIUM,,Negativ,,Weak
DELIVER,,,Strong,
DELIVERY,,,Strong,
DELUDE#1,,,,
DELUDE#2,,,,
DELUGE,,Negativ,Strong,
DELUSION,,Negativ,,Weak
DEMAND#1,,,Strong,
DEMAND#2,,,Strong,
DEMAND#3,,,Strong,
DEMAND#4,,,Strong,
DEMEAN,,Negativ,,
DEMISE,,Negativ,,Weak
DEMO,,,,
DEMOBILIZATION,,,,
DEMOBILIZE,,,,
DEMOCRACY,,,,
DEMOCRAT,,,,
DEMOCRATIC#1,,,,
DEMOCRATIC#2,,,,
DEMOCRATIZATION,,,,
DEMOLISH,,Negativ,Strong,
DEMON,,Negativ,,
DEMONSTRATE,,,Strong,
DEMONSTRATION#1,,,Strong,
DEMONSTRATION#2,,,Strong,
DEMORALISE#1,,,,
DEMORALIZE,,Negativ,Strong,
DENIAL,,Negativ,,
DENMARK,,,,
DENOMINATIONAL,,,,
DENOTE,,,,
DENOUNCE,,Negativ,,
DENSE,,,Strong,
DENSITY,,,Strong,
DENT,,Negativ,,
DENTIST,,,,
DENUNCIATION,,,,
DENY,,Negativ,,
DEPART,,,,
DEPARTMENT#1,,,,
DEPARTMENT#2,,,,
DEPARTURE,,,,
DEPEND#1,,,,Weak
DEPEND#2,,,,Weak
DEPENDABILITY,Positiv,,Strong,
DEPENDABLE,Positiv,,Strong,
DEPENDENCE,,,,Weak
DEPENDENCY,,,,
DEPENDENT,,Negativ,,Weak
DEPICT,,,,
DEPLETE,,Negativ,,
DEPLORABLE,,Negativ,,
DEPLORE,,Negativ,,
DEPLOY,,,Strong,
DEPOSE,,Negativ,,
DEPOSITION,,,,
DEPRAVED,,Negativ,,
DEPRECIATE,,Negativ,,Weak
DEPRECIATION,,Negativ,,
DEPRESS#1,,Negativ,,Weak
DEPRESS#2,,Negativ,,
DEPRESS#3,,Negativ,,
DEPRESSION#1,,Negativ,,Weak
DEPRESSION#2,,Negativ,,Weak
DEPRIVATION,,,,
DEPRIVE,,Negativ,Strong,
DEPTH,,,Strong,
DEPUTY,,,,
DERBY,,,,
DERIDE,,Negativ,,
DERISION,,Negativ,,
DERISIVE,,Negativ,,
DERIVE,,,,
DEROGATORY,,Negativ,,
DESCEND,,,,Weak
DESCENDANT,,,,
DESCRIBE,,,,
DESCRIPTION,,,,
DESCRIPTIVE,,,,
DESCRY,Positiv,,,
DESEGREGATION,,,,
DESERT#1,,,,
DESERT#2,,Negativ,,
DESERT#3,,,,
DESERT#4,,Negativ,,Weak
DESERTION,,Negativ,,
DESERVE,Positiv,,,
DESERVEDLY,Positiv,,Strong,
DESIGN#1,,,,
DESIGN#2,,,,
DESIGNATE#1,,,,
DESIGNATE#2,,,Strong,
DESIGNER,,,,
DESIRABLE,Positiv,,,
DESIRE#1,,,,
DESIRE#2,,,,
DESIRE#3,,Negativ,,
DESIROUS,Positiv,,,
DESK,,,,
DESOLATE,,Negativ,,Weak
DESOLATION,,Negativ,,
DESPAIR#1,,Negativ,,Weak
DESPAIR#2,,Negativ,,Weak
DESPERATE,,Negativ,,Weak
DESPERATION,,Negativ,,
DESPICABLE,,Negativ,,
DESPISE#1,,Negativ,Strong,
DESPISE#2,,Negativ,Strong,
DESPITE,,,,
DESPONDENT,,,,
DESPOT,,,,
DESPOTISM,,,,
DESSERT,,,,
DESTINATION,,,,
DESTINE,,,,
DESTINY,,,Strong,
DESTITUTE,,Negativ,,Weak
DESTROY,,Negativ,Strong,
DESTROYER,,,,
DESTRUCT,,,,
DESTRUCTION,,Negativ,,
DESTRUCTIVE,,Negativ,Strong,
DETACH,,,,
DETACHMENT,,Negativ,,
DETAIL,,,,
DETAIN,,Negativ,,
DETECT#1,,,,
DETECT#2,,,,
DETECTION,,,,
DETECTIVE,,,,
DETER,,Negativ,Strong,
DETERMINATION,,,Strong,
DETERMINE#1,,,Strong,
DETERMINE#2,,,Strong,
DETERMINE#3,,,Strong,
DETERMINISTIC,,,,
DETERRED,,,,
DETERRENT,,Negativ,Strong,
DETEST,,Negativ,,
DETESTABLE,,Negativ,,
DETRACT,,Negativ,,
DETRIMENTAL,,Negativ,Strong,
DEVASTATE,,Negativ,Strong,
DEVASTATION,,Negativ,,
DEVELOP,,,Strong,
DEVELOPMENT,,,Strong,
DEVIANT,,,,
DEVIATE,,Negativ,,
DEVIATION,,Negativ,,
DEVICE,,,,
DEVIL,,Negativ,,
DEVILISH,,Negativ,,
DEVIOUS,,Negativ,,
DEVISE,,,,
DEVOID,,Negativ,,Weak
DEVOLVE,,,,
DEVOTE#1,Positiv,,,
DEVOTE#2,Positiv,,,
DEVOTION,Positiv,,,
DEVOUT,Positiv,,Strong,
DEXTERITY,Positiv,,Strong,
DIABOLIC,,Negativ,,
DIABOLICAL,,Negativ,,
DIAGNOSIS,,,,
DIALECT,,,,
DIALOGUE,,,,
DIAMETER,,,,
DICE,,,,
DICTATE,,Negativ,,
DICTATOR,,,Strong,
DICTATORIAL,,Negativ,,
DICTATORSHIP,,,Strong,
DICTION,,,,
DICTIONARY,,,,
DID#1,,,,
DIE,,,,
DIET#1,,,,
DIET#2,,,,
DIFFER,,Negativ,,
DIFFERENCE,,,,
DIFFERENT#1,,,,
DIFFERENT#2,,,,
DIFFERENTIAL,,,,
DIFFERENTIATE,,,,
DIFFICULT,,Negativ,,
DIFFICULTY,,Negativ,,
DIG#1,Positiv,,,
DIG#2,,,,
DIGITAL,,,,
DIGNIFIED,Positiv,,Strong,
DIGNIFY,Positiv,,,
DIGNITY,Positiv,,Strong,
DILEMMA,,Negativ,,
DILIGENCE,,,,
DILIGENT,Positiv,,Strong,
DIM#1,,Negativ,,
DIM#2,,Negativ,,
DIMENSION,,,,
DIMINISH,,,,Weak
DIN,,Negativ,Strong,
DING,,,,
DINNER,,,,
DIP,,,,
DIPLOMACY,,,,
DIPLOMATIC,,,,
DIPPER,,,,
DIRE,,Negativ,,Weak
DIRECT#1,,,Strong,
DIRECT#2,,,Strong,
DIRECT#3,,,Strong,
DIRECTION#1,,,,
DIRECTION#2,,,,
DIRECTOR,,,Strong,
DIRT,,Negativ,,
DIRTY,,Negativ,,
DISABILITY,,,,
DISABLE,,Negativ,,
DISADVANTAGE,,Negativ,,Weak
DISADVANTAGEOUS,,Negativ,,Weak
DISAGREE,,,,
DISAGREEABLE,,Negativ,,
DISAGREEMENT,,Negativ,,
DISAPPEAR,,,,
DISAPPEARANCE,,,,
DISAPPOINT#1,,Negativ,,
DISAPPOINT#2,,Negativ,,
DISAPPOINT#3,,Negativ,,
DISAPPOINT#4,,Negativ,,
DISAPPOINTMENT,,Negativ,,
DISAPPROVAL,,Negativ,,
DISAPPROVE,,Negativ,,
DISARM,,Negativ,,
DISARMAMENT,,,,
DISASTER,,Negativ,,Weak
DISASTROUS,,Negativ,,Weak
DISAVOW,,Negativ,,
DISAVOWAL,,Negativ,,
DISBELIEF,,Negativ,,
DISC,,,,
DISCARD#1,,,,
DISCARD#2,,,,
DISCERN,Positiv,,,
DISCERNIBLE,,,,
DISCHARGE#1,,Negativ,Strong,
DISCHARGE#2,,Negativ,Strong,
DISCIPLE,,,,
DISCIPLINE#1,,,Strong,
DISCIPLINE#2,,,Strong,
DISCIPLINE#3,,,,
DISCLAIM,,Negativ,,
DISCLOSE#1,,,,
DISCLOSE#2,,,,
DISCLOSURE,,,,
DISCOMFORT,,Negativ,,
DISCONCERTED,,Negativ,,Weak
DISCONTENT,,Negativ,,Weak
DISCONTINUE#1,,,,
DISCONTINUE#2,,,,
DISCORD,,Negativ,,Weak
DISCORDANT,,Negativ,,
DISCOUNT#1,,,,
DISCOUNT#2,,,,
DISCOURAGE#1,,Negativ,,
DISCOURAGE#2,,Negativ,,
DISCOURAGEMENT,,Negativ,,Weak
DISCOURSE,,,,
DISCOVER,,,,
DISCOVERY,,,,
DISCREDIT,,Negativ,,
DISCREET,Positiv,,,
DISCREPANCY,,,,
DISCREPANT,,Negativ,,
DISCRETION,Positiv,,,
DISCRIMINATE,,Negativ,,
DISCRIMINATION,,,,
DISCRIMINATORY,,,,
DISCUSS,Positiv,,,
DISCUSSION,,,,
DISDAIN,,Negativ,,
DISEASE,,Negativ,,
DISEASED,,Negativ,,Weak
DISGRACE,,Negativ,,Weak
DISGUISE,,Negativ,,
DISGUST#1,,Negativ,,Weak
DISGUST#2,,Negativ,,
DISGUST#3,,Negativ,,Weak
DISGUST#4,,Negativ,,Weak
DISGUST#5,,Negativ,,Weak
DISH#1,,,,
DISH#2,,,,
DISHEARTEN,,Negativ,,Weak
DISHONEST,,Negativ,,Weak
DISHONOR,,Negativ,,Weak
DISILLUSION,,,,
DISINGENUOUS,,Negativ,,Weak
DISINTEREST,,Negativ,,
DISLIKE#1,,Negativ,,
DISLIKE#2,,Negativ,,
DISMAL,,Negativ,,Weak
DISMAY,,,,
DISMISS#1,,Negativ,,
DISMISS#2,,Negativ,,
DISOBEDIENCE,,Negativ,,
DISOBEDIENT,,Negativ,,
DISORDER,,Negativ,,Weak
DISORGANIZED,,Negativ,,Weak
DISPEL,,Negativ,,
DISPENSABILITY,,Negativ,,Weak
DISPENSE,,Negativ,,
DISPERSE,,,,
DISPLACE,,Negativ,,
DISPLACEMENT,,,Strong,
DISPLAY#1,,,,
DISPLAY#2,,,,
DISPLEASE,,Negativ,,Weak
DISPLEASURE,,Negativ,,Weak
DISPOSAL,,Negativ,,
DISPOSE#1,,Negativ,Strong,
DISPOSE#2,,Negativ,Strong,
DISPOSITION,,,,
DISPROPORTIONATE,,Negativ,,
DISPROVE,,Negativ,,
DISPUTABLE,,Negativ,,
DISPUTE#1,,Negativ,,
DISPUTE#2,,Negativ,,
DISREGARD,,Negativ,,
DISRUPT,,Negativ,,
DISRUPTION,,Negativ,,
DISRUPTIVE,,,,
DISSATISFACTION,,Negativ,,
DISSATISFIED,,Negativ,,
DISSATISFY,,Negativ,,Weak
DISSEMINATION,,,,
DISSENSION,,,,
DISSENT,,Negativ,,
DISSENTION,,Negativ,,
DISSIMILAR,,,,
DISSOLUTION,,Negativ,,
DISSOLVE#1,,,Strong,
DISSOLVE#2,,,Strong,
DISTANCE,,,,
DISTANT,,,,
DISTINCT,Positiv,,,
DISTINCTION,Positiv,,,
DISTINCTIVE,Positiv,,,
DISTINGIUSH#1,,,,
DISTINGIUSH#2,,,,
DISTINGUISH#1,Positiv,,,
DISTINGUISH#2,Positiv,,,
DISTINGUISHED,Positiv,,Strong,
DISTORT,,Negativ,,
DISTORTION,,Negativ,,
DISTRACT,,Negativ,,
DISTRACTING,,Negativ,,
DISTRACTION,,Negativ,,
DISTRESS#1,,Negativ,,Weak
DISTRESS#2,,Negativ,,Weak
DISTRIBUTE,,,,
DISTRIBUTION,,,,
DISTRIBUTOR,,,,
DISTRICT,,,,
DISTRUST,,,,
DISTRUSTFUL,,Negativ,,
DISTURB#1,,Negativ,,
DISTURB#2,,Negativ,,
DISTURB#3,,Negativ,,
DISTURBANCE,,Negativ,,
DISUNION,,,,
DISUNITY,,,,
DITCH#1,,,,
DITCH#2,,,,
DIURNAL,,,,
DIVE,,,,
DIVER,,,,
DIVERSION,,Negativ,,
DIVERSITY,,,,
DIVERT,,Negativ,,
DIVIDE#1,,Negativ,Strong,
DIVIDE#2,,Negativ,,Weak
DIVINE#1,Positiv,,Strong,
DIVINE#2,Positiv,,Strong,
DIVINITY,Positiv,,Strong,
DIVISION,,Negativ,,Weak
DIVORCE#1,,Negativ,,
DIVORCE#2,,Negativ,,
DIVORCE#3,,Negativ,,
DIZZY,,Negativ,,
DO#1,,,Strong,
DO#2,,,,
DO#3,,,,
DO#4,,,,
DOCTOR#1,,,,
DOCTOR#2,,,,
DOCTOR#3,,,,
DOCTRINE,,,,
DOCUMENT,,,,
DOER,,,,
DOG,,,,
DOGMA,,,,
DOGMATISM,,,,
DOLDRUMS,,Negativ,,
DOLL,,,,
DOLLAR,,,,
DOLLY,,,,
DOMAIN,,,,
DOMESTIC,,,,
DOMINANCE,Positiv,,,
DOMINANT,,,Strong,
DOMINATE#1,,Negativ,Strong,
DOMINATE#2,,Negativ,Strong,
DOMINATE#3,,Negativ,Strong,
DOMINATION,,Negativ,Strong,
DOMINICAN,,,,
DOMINICAN-REPUBLIC,,,,
DOMINION,,,,
DON'T,,,,
DONATE,Positiv,,,
DONATION,Positiv,,,
DONE,,,Strong,
DOOM#1,,Negativ,,Weak
DOOM#2,,Negativ,,Weak
DOOMSDAY,,Negativ,,
DOOR#1,,,,
DOOR#2,,,,
DOORWAY,,,,
DOPE,,Negativ,,
DOTE,Positiv,,,
DOUBLE#1,,,Strong,
DOUBLE#2,,,Strong,
DOUBLE#3,,Negativ,,
DOUBLE#4,,Negativ,,
DOUBLE#5,,,,
DOUBLE#6,,,,
DOUBLE#7,,,Strong,
DOUBT#1,,Negativ,,
DOUBT#2,,Negativ,,
DOUBT#3,,,,
DOUBT#4,,Negativ,,
DOUBTFUL,,Negativ,,Weak
DOUBTLESS,Positiv,,Strong,
DOWN,,,,
DOWNCAST,,Negativ,,
DOWNFALL,,Negativ,,
DOWNHEARTED,,Negativ,,
DOWNTOWN,,,,
DOZEN,,,,
DR,,,,
DR.,,,,
DRAB,,Negativ,,
DRAFT#1,,,,
DRAFT#2,,,,
DRAG,,Negativ,,
DRAIN#1,,,,
DRAIN#2,,,,
DRAMA,,,,
DRAMATIC,,,,
DRANK,,,,
DRASTIC,,,,
DRAW#1,,,,
DRAW#2,,,,
DRAW#3,,,Strong,
DRAW#4,,,,
DRAW#5,,,,
DRAWN#1,,,,
DREAD,,Negativ,,
DREADFUL,,Negativ,,Weak
DREAM#1,,,,
DREAM#2,,,,
DREAMER#1,,,,
DREAMER#2,,,,
DREAMLAND,Positiv,,,
DREAMT,,,,
DREARY,,Negativ,,
DRESS#1,,,,
DRESS#2,,,,
DRESS#3,,,,
DRESS#4,,,,
DRESSER,,,,
DREW#1,,,,
DRIFT#1,,,,
DRIFT#2,,,,
DRIFTER,,,,
DRILL#1,,,,
DRILL#2,,,,
DRINK#1,,,,
DRINK#2,,,,
DRINK#3,,,,
DRINK#4,,,,
DRINKER,,,,
DRIP#1,,,,
DRIP#2,,,,
DRIVE#1,,,,
DRIVE#2,,Negativ,Strong,
DRIVE#3,,,,
DRIVE#4,,,,
DRIVE#5,,,Strong,
DRIVE#6,,,,
DRIVE-IN,,,,
DRIVEN#1,,,,
DRIVER,,,,
DRIVEWAY,,,,
DRIZZLE#1,,,,
DRIZZLE#2,,,,
DROOP,,Negativ,,Weak
DROP#1,,Negativ,,Weak
DROP#2,,,,
DROP#3,,Negativ,,Weak
DROP#4,,Negativ,,Weak
DROUGHT,,Negativ,,
DROVE#1,,,,
DROVE#2,,,,
DROWN#1,,Negativ,,Weak
DROWN#2,,Negativ,,Weak
DROWSINESS,,Negativ,,
DROWSY,,Negativ,,
DRUG,,,,
DRUM,,,,
DRUNK#1,,Negativ,,Weak
DRUNK#2,,Negativ,,Weak
DRUNK#3,,,,
DRUNKARD,,Negativ,,Weak
DRUNKEN,,Negativ,,Weak
DRY#1,,,,
DRY#2,,,,
DRYER,,,,
DUAL,,,,
DUBIOUS,,Negativ,,
DUCT,,,,
DUE#1,,,,
DUE#2,,,,
DUE#3,,,,
DUE#4,,,,
DUE#5,,,,
DUE#6,,,,
DUG#1,,,,
DULL,,Negativ,,Weak
DUMB,,Negativ,,Weak
DUMP#1,,Negativ,,
DUMP#2,,Negativ,,
DUNCE,,Negativ,,
DUNGEON,,Negativ,,
DUPLICATION,,,,
DURABILITY,Positiv,,Strong,
DURABLE,Positiv,,Strong,
DURATION,,,,
DURING,,,,
DUSK,,,,
DUST,,,,
DUSTY,,,,
DUTY,,Negativ,Strong,
DWELL,,,,
DWELLING,,,,
DWINDLE,,Negativ,,
DYING#1,,Negativ,,Weak
DYING#2,,Negativ,,Weak
DYNAMIC,Positiv,,Strong,
DYNAMISM,,,,
DYNASTY,,,,
EACH#1,,,,
EACH#2,,,,
EACH#3,,,,
EAGER,Positiv,,Strong,
EAGERNESS,Positiv,,,
EAGLE,,,,
EAR#1,,,,
EAR#2,,,,
EAR#3,,,,
EARLIEST,,,,
EARLY#1,,,,
EARLY#2,,,,
EARLY#3,,,,
EARN#1,,,Strong,
EARN#2,,,Strong,
EARN#3,,,Strong,
EARNER,,,Strong,
EARNEST,Positiv,,Strong,
EARNESTNESS,Positiv,,,
EARTH#1,,,,
EARTH#2,,,,
EARTH#3,,,,
EARTHQUAKE,,,,
EASE#1,Positiv,,,
EASE#2,Positiv,,,
EASE#3,,,,
EASIEST,,,,
EAST,,,,
EAST-GERMANY,,,,
EAST-WEST,,,,
EASTER,,,,
EASTERN,,,,
EASTERN-EUROPE,,,,
EASTERNER,,,,
EASY#1,Positiv,,,
EASY#2,Positiv,,,
EASY#3,Positiv,,,
EASY#4,Positiv,,,
EAT#1,,,,
EAT#2,,,,
EATEN#1,,,,
EATER,,,,
ECCENTRIC,,Negativ,,
ECCENTRICITY,,Negativ,,
ECCLESIASTICAL,,,,
ECHO#1,,,,
ECHO#2,,,,
ECONOMIC,,,,
ECONOMICAL,,,,
ECONOMICS,,,,
ECONOMIST,,,,
ECONOMIZE,Positiv,,,
ECONOMY,,,,
ECSC,,,,
ECSTASY,Positiv,,,
ECSTATIC,Positiv,,,
ECUADOR,,,,
ECUMENICAL,,,,
EDC,,,,
EDGE#1,,,,
EDGE#2,,,,
EDGE#3,,,,
EDGE#4,,Negativ,,Weak
EDIBLE,Positiv,,,
EDINBURGH,,,,
EDITION,,,,
EDITOR,,,Strong,
EDITORIAL,,,,
EDUCATE,,,Strong,
EDUCATED#1,Positiv,,,
EDUCATED#2,,,,
EDUCATION,Positiv,,,
EDUCATIONAL,Positiv,,,
EDUCATOR,,,,
EEC,,,,
EFFECT#1,,,,
EFFECT#2,,,Strong,
EFFECT#3,,,,
EFFECT#4,,,,
EFFECT#5,,,,
EFFECT#6,,,,
EFFECTIVE,Positiv,,Strong,
EFFECTIVENESS,Positiv,,Strong,
EFFICACY,Positiv,,Strong,
EFFICIENCY,Positiv,,Strong,
EFFICIENT,Positiv,,Strong,
EFFORT,,,,
EFTA,,,,
EGG,,,,
EGO,,,,
EGOTISTICAL,,Negativ,,
EGYPT,,,,
EIGHT,,,,
EIGHTEEN,,,,
EIGHTEENTH,,,,
EIGHTH#1,,,,
EIGHTH#2,,,,
EIGHTY,,,,
EITHER#1,,,,
EITHER#2,,,,
EITHER#3,,,,
EITHER#4,,,,
EL-SALVADOR,,,,
ELABORATE,Positiv,,,
ELABORATION,Positiv,,,
ELAPSE#1,,,,
ELAPSE#2,,,,
ELASTIC,,,,Weak
ELASTICITY,,,,Weak
ELATE,Positiv,,,
ELDER#1,,,Strong,
ELDER#2,,,Strong,
ELDERLY,,,,Weak
ELDEST,,,,
ELECT#1,,,,
ELECT#2,,,,
ELECTION,,,,
ELECTOR,,,,
ELECTORAL,,,,
ELECTRIC,,,,
ELECTRICAL,,,,
ELECTRICITY,,,,
ELECTRON,,,,
ELECTRONIC,,,,
ELECTRONICS,,,,
ELEGANCE,Positiv,,,
ELEGANT,Positiv,,,
ELEMENT,,,,
ELEMENTAL,,,,
ELEMENTARY,,,,
ELEPHANT,,,,
ELEVATE#1,,,Strong,
ELEVATE#2,,,Strong,
ELEVATOR,,,,
ELEVEN,,,,
ELIGIBLE,,,,
ELIMINATE,,Negativ,Strong,
ELIMINATION,,Negativ,Strong,
ELITE,,,,
ELITISM,,,,
ELONGATED,,,,
ELOQUENT,Positiv,,,
ELSE#1,,,,
ELSE#2,,,,
ELSEWHERE,,,,
EMANCIPATION,,,Strong,
EMASCULATE,,,,
EMBARK,,,,
EMBARRASS,,Negativ,,
EMBARRASSED,,,,
EMBARRASSMENT,,Negativ,,Weak
EMBASSY,,,,
EMBELLISH,Positiv,,,
EMBITTER,,,,
EMBODY,,,,
EMBRACE#1,Positiv,,,
EMBRACE#2,Positiv,,,
EMERGE#1,,,,
EMERGE#2,,,,
EMERGENCY,,Negativ,,
EMINENCE,Positiv,,Strong,
EMINENT,Positiv,,Strong,
EMISSARY,,,,
EMOTION,,,,
EMOTIONAL#1,,,,
EMOTIONAL#2,,,,
EMPATHY,Positiv,,,
EMPEROR,,,Strong,
EMPHASIS,,,Strong,
EMPHASISE#1,,,,
EMPHASIZE,,,Strong,
EMPHATIC,,,Strong,
EMPIRE,,,,
EMPIRICAL,,,,
EMPLOY,,,Strong,
EMPLOYEE,,,,Weak
EMPLOYER,,,Strong,
EMPLOYMENT,,,,
EMPOWER,Positiv,,Strong,
EMPOWERMENT,Positiv,,Strong,
EMPTY#1,,Negativ,,Weak
EMPTY#2,,Negativ,,
ENABLE,Positiv,,Strong,
ENACT,,,Strong,
ENACTMENT,,,Strong,
ENCHANT#1,Positiv,,,
ENCHANT#2,Positiv,,,
ENCHANTMENT,Positiv,,,
ENCLOSE#1,,,Strong,
ENCLOSE#2,,,Strong,
ENCOMPASS,,,Strong,
ENCOUNTER#1,,,,
ENCOUNTER#2,,,,
ENCOURAGE#1,Positiv,,,
ENCOURAGE#2,Positiv,,,
ENCOURAGEMENT,Positiv,,,
ENCROACH,,Negativ,,
ENCROACHMENT,,Negativ,,
END#1,,,,
END#2,,,,
END#3,,,,
END#4,,,,
END#5,,,,
END#6,,,,
ENDANGER,,Negativ,,
ENDEAR,Positiv,,,
ENDEAVOR,,,,
ENDLESS,,,Strong,
ENDORSE,Positiv,,Strong,
ENDOW,Positiv,,,
ENDOWMENT,,,,
ENDURANCE,Positiv,,Strong,
ENDURE#1,,,Strong,
ENDURE#2,,,Strong,
ENEMY,,Negativ,,
ENERGETIC,Positiv,,Strong,
ENERGIZE,Positiv,,Strong,
ENERGY,,,Strong,
ENFORCE,,Negativ,Strong,
ENFORCEMENT,,,Strong,
ENFRANCHISEMENT,,,,
ENGAGE#1,,,,
ENGAGE#2,,,,
ENGAGE#3,,,,
ENGAGE#4,,,,
ENGAGE#5,Positiv,,,
ENGAGEMENT,,,,
ENGINE,,,,
ENGINEER,,,,
ENGLAND,,,,
ENGLISH,,,,
ENGULF,,Negativ,Strong,
ENHANCE,Positiv,,Strong,
ENHANCEMENT,Positiv,,,
ENJOY,Positiv,,,
ENJOYABLE,Positiv,,,
ENJOYMENT,Positiv,,,
ENLARGE#1,,,,
ENLARGE#2,,,,
ENLIGHTEN#1,Positiv,,,
ENLIGHTEN#2,Positiv,,,
ENLIGHTENMENT,Positiv,,,
ENLIST#1,,,,
ENLIST#2,,,,
ENLISTMENT,,,,
ENORMOUS,,,Strong,
ENOUGH#1,,,,
ENOUGH#2,,,,
ENOUGH#3,,,,
ENOUGH#4,,,,
ENRAGE,,Negativ,,
ENRICH,Positiv,,Strong,
ENRICHMENT,Positiv,,Strong,
ENROLL,,,,
ENROLLMENT,,,,
ENROLMENT#1,,,,
ENSEMBLE,Positiv,,,
ENSLAVE,,Negativ,,
ENSURE,Positiv,,Strong,
ENTAIL,,,,
ENTANGLE,,Negativ,,
ENTANGLEMENT,,Negativ,,
ENTER,,,,
ENTERPRISE,,,Strong,
ENTERTAIN#1,Positiv,,,
ENTERTAIN#2,Positiv,,,
ENTERTAINMENT,Positiv,,,
ENTHUSIASM,Positiv,,,
ENTHUSIASTIC,Positiv,,Strong,
ENTIRE,,,Strong,
ENTITLE,,,Strong,
ENTITY,,,,
ENTRANCE#1,,,,
ENTRANCE#2,,,,
ENTRANCE#3,,,,
ENTREAT,,Negativ,,Weak
ENTREPRENEURIAL,Positiv,,,
ENTROPY,,,,
ENTRUST,Positiv,,,
ENTRY,,,,
ENUNCIATE,,,,
ENVIOUS,,Negativ,,
ENVIRONMENT,,,,
ENVIRONMENTAL,,,,
ENVISAGE,,,,
ENVISION,Positiv,,,
ENVOY,,,,
ENVY,,Negativ,,
EPIDEMIC,,Negativ,,
EPITHET,,Negativ,,
EQUAL#1,,,,
EQUAL#2,,,,
EQUAL#3,,,Strong,
EQUAL#4,,,,
EQUALITY,Positiv,,,
EQUALIZATION,,,,
EQUATE,,,,
EQUATION,,,,
EQUILIBRIUM,,,Strong,
EQUIP,,,Strong,
EQUIPMENT,,,,
EQUITABLE,Positiv,,,
EQUITY,Positiv,,,
EQUIVALENT,,,,
EQUIVOCAL,,Negativ,,Weak
ERA,,,,
ERADICATE,,Negativ,,
ERASE,,Negativ,,
ERECT#1,,,Strong,
ERECT#2,,,Strong,
ERODE,,Negativ,,
EROSION,,Negativ,,
ERR,,Negativ,,Weak
ERRONEOUS,,Negativ,,Weak
ERROR,,Negativ,,
ESCAPE#1,,,Strong,
ESCAPE#2,,,Strong,
ESCAPE#3,,,,
ESCORT,,,,
ESOTERIC,,Negativ,,
ESPECIALLY,,,,
ESPLANADE,,,,
ESSAY,,,,
ESSENCE,,,Strong,
ESSENTIAL#1,Positiv,,Strong,
ESSENTIAL#2,Positiv,,Strong,
ESSENTIAL#3,,,,
ESTABLISH#1,Positiv,,Strong,
ESTABLISH#2,Positiv,,Strong,
ESTABLISHMENT,,,,
ESTATE,,,,
ESTEEM,Positiv,,,
ESTIMATE#1,,,,
ESTIMATE#2,,,,
ESTRANGE,,,,
ESTRANGED,,Negativ,,
ESTRANGEMENT,,,,
ETC,,,,
ETC.,,,,
ETERNAL,,,Strong,
ETHICAL,Positiv,,,
ETHICS,Positiv,,,
ETHIOPIA,,,,
ETHNIC,,,,
ETHOS,,,,
ETIQUETTE,Positiv,,,
ETRANS#1,,,,
ETRANS#2,,,,
ETRANS#3,,,,
ETRANS#4,,,,
EURATOM,,,,
EUROPE,,,,
EUROPEAN,,,,
EVACUATE,,,,
EVACUATION,,,,
EVADE,,Negativ,,
EVALUATE,,,,
EVALUATION,,,,
EVANGELISM,,,,
EVASION,,Negativ,,
EVEN#1,,,,
EVEN#2,,,,
EVEN#3,,Negativ,,
EVEN#4,Positiv,,,
EVEN#5,Positiv,,,
EVENING,,,,
EVENT#1,,,,
EVENT#2,,,,
